Date,Price,Vol.,Return
01-03-2024,446.65,9.62M,1.55%
01-02-2024,439.85,34.87M,16.47%
01-01-2024,377.65,15.30M,7.32%
01-12-2023,351.9,11.30M,-5.39%
01-11-2023,371.95,30.92M,27.21%
01-10-2023,292.4,6.41M,-11.23%
01-09-2023,329.4,9.13M,-10.95%
01-08-2023,369.9,6.46M,-3.17%
01-07-2023,382,26.84M,19.00%
01-06-2023,321,23.62M,-10.45%
01-05-2023,358.45,8.18M,-8.52%
01-04-2023,391.85,7.53M,3.40%
01-03-2023,378.95,18.31M,4.09%
01-02-2023,364.05,12.95M,-4.61%
01-01-2023,381.65,16.04M,9.78%
01-12-2022,347.65,22.27M,6.94%
01-11-2022,325.1,17.00M,4.57%
01-10-2022,310.9,23.00M,14.68%
01-09-2022,271.1,16.41M,-7.82%
01-08-2022,294.1,26.91M,13.62%
01-07-2022,258.85,29.56M,23.85%
01-06-2022,209,13.95M,-3.95%
01-05-2022,217.6,10.01M,-1.74%
01-04-2022,221.45,21.86M,7.74%
01-03-2022,205.55,27.67M,21.77%
01-02-2022,168.8,21.00M,-16.72%
01-01-2022,202.7,13.25M,-8.38%
01-12-2021,221.25,19.77M,-3.51%
01-11-2021,229.3,30.37M,7.80%
01-10-2021,212.7,18.59M,-6.55%
01-09-2021,227.6,18.87M,-14.52%
01-08-2021,266.25,11.27M,-16.71%
01-07-2021,319.65,20.63M,-7.04%
01-06-2021,343.85,15.63M,-4.27%
01-05-2021,359.2,16.03M,18.08%
01-04-2021,304.2,6.11M,1.86%
