,Price,Vol.,Return
01-03-2024,926.55,3.47M,-9.66%
01-02-2024,"1,025.65",75.13M,1.31%
01-01-2024,"1,012.35",59.32M,2.47%
01-12-2023,987.95,147.01M,39.38%
01-11-2023,708.8,41.74M,25.61%
01-10-2023,564.3,20.85M,-7.98%
01-09-2023,613.25,11.52M,-3.55%
01-08-2023,635.8,17.62M,-4.20%
01-07-2023,663.7,14.97M,1.39%
01-06-2023,654.6,45.13M,-1.44%
01-05-2023,664.15,80.52M,-29.72%
01-04-2023,945,14.50M,8.90%
01-03-2023,867.75,53.41M,27.88%
01-02-2023,678.55,14.93M,-67.81%
01-01-2023,"2,108.20",11.39M,-42.91%
01-12-2022,"3,692.85",7.01M,1.65%
01-11-2022,"3,632.75",5.96M,0.83%
01-10-2022,"3,602.85",6.48M,7.87%
01-09-2022,"3,339.85",9.39M,-10.82%
01-08-2022,"3,744.95",9.98M,19.75%
01-07-2022,"3,127.20",9.51M,30.69%
01-06-2022,"2,392.90",11.70M,-0.21%
01-05-2022,"2,397.90",8.87M,-2.16%
01-04-2022,"2,450.95",7.29M,14.01%
01-03-2022,"2,149.80",5.68M,35.34%
01-02-2022,"1,588.50",3.52M,-12.78%
01-01-2022,"1,821.25",3.91M,5.78%
01-12-2021,"1,721.80",4.45M,7.62%
01-11-2021,"1,599.85",8.94M,11.14%
01-10-2021,"1,439.45",8.03M,1.15%
01-09-2021,"1,423.15",9.25M,-2.02%
01-08-2021,"1,452.50",5.53M,62.74%
01-07-2021,892.55,7.75M,-12.48%
01-06-2021,"1,019.85",20.36M,-24.39%
01-05-2021,"1,348.85",75.61M,17.21%
01-04-2021,"1,150.75",50.40M,19.71%
