Date,Price,Vol.,Return
01-03-2024,602.4,159.68M,-0.24%
01-02-2024,603.85,318.76M,20.23%
01-01-2024,502.25,123.33M,11.45%
01-12-2023,450.65,226.43M,3.43%
01-11-2023,435.7,141.49M,24.75%
01-10-2023,349.25,72.87M,0.76%
01-09-2023,346.6,89.84M,1.78%
01-08-2023,340.55,77.30M,-9.79%
01-07-2023,377.5,77.73M,3.51%
01-06-2023,364.7,67.48M,0.33%
01-05-2023,363.5,64.32M,1.65%
01-04-2023,357.6,53.06M,3.86%
01-03-2023,344.3,94.00M,8.49%
01-02-2023,317.35,50.98M,-7.55%
01-01-2023,343.25,63.70M,3.86%
01-12-2022,330.5,77.67M,-3.12%
01-11-2022,341.15,77.45M,12.35%
01-10-2022,303.65,59.89M,-0.38%
01-09-2022,304.8,80.73M,-7.26%
01-08-2022,328.65,66.79M,-0.50%
01-07-2022,330.3,81.22M,7.10%
01-06-2022,308.4,99.44M,-5.46%
01-05-2022,326.2,86.74M,-10.04%
01-04-2022,362.6,91.35M,0.90%
01-03-2022,359.35,142.39M,2.73%
01-02-2022,349.8,108.71M,-11.90%
01-01-2022,397.05,95.85M,3.01%
01-12-2021,385.45,116.14M,4.18%
01-11-2021,370,89.99M,-11.42%
01-10-2021,417.7,107.07M,-3.35%
01-09-2021,432.2,168.23M,-1.32%
01-08-2021,437.96,109.50M,5.87%
01-07-2021,413.68,79.34M,-4.83%
01-06-2021,434.66,99.21M,-0.83%
01-05-2021,438.29,221.87M,11.90%
01-04-2021,391.67,140.70M,-1.44%
