,Price,Vol.,Return
01-03-2024,185.95,83.14M,-10.77%
01-02-2024,208.4,157.37M,5.98%
01-01-2024,196.65,121.74M,9.40%
01-12-2023,179.75,210.51M,30.07%
01-11-2023,138.2,31.37M,1.51%
01-10-2023,136.15,32.10M,-1.73%
01-09-2023,138.55,55.73M,-4.28%
01-08-2023,144.75,46.96M,0.00%
01-07-2023,144.75,46.41M,19.83%
01-06-2023,120.8,25.20M,7.57%
01-05-2023,112.3,12.33M,-6.30%
01-04-2023,119.85,8.61M,8.02%
01-03-2023,110.95,12.82M,-3.31%
01-02-2023,114.75,8.94M,-2.63%
01-01-2023,117.85,10.82M,-4.30%
01-12-2022,123.15,15.48M,-6.35%
01-11-2022,131.5,26.16M,5.79%
01-10-2022,124.3,34.40M,10.29%
01-09-2022,112.7,32.04M,-1.14%
01-08-2022,114,19.09M,0.18%
01-07-2022,113.8,14.77M,10.16%
01-06-2022,103.3,12.63M,-4.97%
01-05-2022,108.7,19.14M,0.56%
01-04-2022,108.1,27.79M,7.08%
01-03-2022,100.95,30.92M,-6.53%
01-02-2022,108,17.47M,-13.39%
01-01-2022,124.7,19.39M,1.55%
01-12-2021,122.8,14.06M,-4.99%
01-11-2021,129.25,14.04M,-6.44%
01-10-2021,138.15,25.20M,-1.46%
01-09-2021,140.2,15.76M,4.63%
01-08-2021,134,16.54M,-3.18%
01-07-2021,138.4,15.22M,-3.28%
01-06-2021,143.1,58.26M,6.55%
01-05-2021,134.3,34.98M,6.80%
01-04-2021,125.75,31.00M,0.36%
