Date,Price,Vol.,Return
01-03-2024,181.05,347.94M,-0.66%
01-02-2024,182.25,483.56M,5.53%
01-01-2024,172.7,445.47M,6.54%
01-12-2023,162.1,613.45M,22.90%
01-11-2023,131.9,271.36M,10.38%
01-10-2023,119.5,362.32M,-3.94%
01-09-2023,124.4,338.64M,8.17%
01-08-2023,115,276.63M,-3.44%
01-07-2023,119.1,336.75M,13.37%
01-06-2023,105.05,192.60M,0.24%
01-05-2023,104.8,202.90M,-2.33%
01-04-2023,107.3,168.14M,2.04%
01-03-2023,105.15,415.10M,2.44%
01-02-2023,102.65,305.18M,7.88%
01-01-2023,95.15,258.47M,-0.94%
01-12-2022,96.05,309.46M,1.37%
01-11-2022,94.75,237.58M,3.78%
01-10-2022,91.3,199.24M,4.88%
01-09-2022,87.05,267.68M,-4.06%
01-08-2022,90.73,473.04M,-7.16%
01-07-2022,97.73,235.99M,8.43%
01-06-2022,90.13,306.96M,-8.15%
01-05-2022,98.13,294.70M,-7.51%
01-04-2022,106.1,407.63M,2.25%
01-03-2022,103.77,610.98M,7.46%
01-02-2022,96.57,323.42M,0.38%
01-01-2022,96.2,261.73M,11.69%
01-12-2021,86.13,344.91M,-0.46%
01-11-2021,86.53,320.72M,-12.80%
01-10-2021,99.23,471.87M,-6.30%
01-09-2021,105.9,473.28M,8.69%
01-08-2021,97.43,430.62M,4.73%
01-07-2021,93.03,310.64M,-6.75%
01-06-2021,99.77,499.31M,-6.44%
01-05-2021,106.63,606.77M,16.58%
01-04-2021,91.47,415.57M,1.25%
