Date,Price,Vol.,Return
01-03-2024,356.5,22.41M,-3.36%
01-02-2024,368.9,44.36M,0.52%
01-01-2024,367,28.79M,19.93%
01-12-2023,306,29.27M,6.07%
01-11-2023,288.5,18.23M,7.85%
01-10-2023,267.5,16.16M,-5.21%
01-09-2023,282.2,24.28M,2.19%
01-08-2023,276.15,12.31M,-4.23%
01-07-2023,288.35,11.00M,1.37%
01-06-2023,284.45,11.00M,-5.34%
01-05-2023,300.5,17.91M,5.46%
01-04-2023,284.95,15.18M,7.53%
01-03-2023,265,16.02M,-6.31%
01-02-2023,282.85,15.96M,4.84%
01-01-2023,269.8,15.79M,2.31%
01-12-2022,263.7,23.10M,-2.15%
01-11-2022,269.5,65.52M,19.17%
01-10-2022,226.15,17.70M,-2.08%
01-09-2022,230.95,29.26M,-4.68%
01-08-2022,242.3,16.71M,4.26%
01-07-2022,232.4,19.89M,6.65%
01-06-2022,217.9,14.59M,-14.38%
01-05-2022,254.5,15.41M,-2.84%
01-04-2022,261.95,18.54M,1.12%
01-03-2022,259.05,21.76M,-10.52%
01-02-2022,289.5,21.77M,-3.77%
01-01-2022,300.85,17.13M,1.93%
01-12-2021,295.15,19.59M,-5.79%
01-11-2021,313.3,21.08M,2.67%
01-10-2021,305.15,17.01M,-3.43%
01-09-2021,316,21.13M,-9.88%
01-08-2021,350.65,26.38M,1.31%
01-07-2021,346.1,16.64M,3.81%
01-06-2021,333.4,47.63M,23.00%
01-05-2021,271.05,12.79M,0.52%
01-04-2021,269.65,15.20M,-1.35%
