Date,Price,Vol.,Return
01-03-2024,544.25,18.57M,-3.73%
01-02-2024,565.35,34.48M,-2.48%
01-01-2024,579.7,39.31M,25.61%
01-12-2023,461.5,31.11M,6.55%
01-11-2023,433.15,12.09M,5.89%
01-10-2023,409.05,26.66M,-3.28%
01-09-2023,422.9,30.16M,-5.89%
01-08-2023,449.35,35.91M,-6.91%
01-07-2023,482.7,28.62M,3.80%
01-06-2023,465.05,24.71M,-8.20%
01-05-2023,506.6,32.89M,8.31%
01-04-2023,467.75,18.31M,1.77%
01-03-2023,459.6,14.89M,-8.97%
01-02-2023,504.9,25.31M,10.49%
01-01-2023,456.95,22.02M,-6.01%
01-12-2022,486.15,28.08M,-2.55%
01-11-2022,498.85,24.68M,-3.81%
01-10-2022,518.6,18.81M,3.05%
01-09-2022,503.25,33.87M,6.68%
01-08-2022,471.75,36.97M,5.98%
01-07-2022,445.15,24.97M,6.28%
01-06-2022,418.85,48.71M,-25.11%
01-05-2022,559.3,45.77M,15.94%
01-04-2022,482.4,31.82M,-4.14%
01-03-2022,503.25,49.26M,-13.76%
01-02-2022,583.55,23.20M,-13.25%
01-01-2022,672.65,22.12M,5.95%
01-12-2021,634.85,19.43M,-5.24%
01-11-2021,669.95,24.67M,7.66%
01-10-2021,622.3,41.11M,-2.38%
01-09-2021,637.45,36.58M,-11.81%
01-08-2021,722.8,41.23M,1.10%
01-07-2021,714.95,32.67M,8.20%
01-06-2021,660.75,81.88M,23.21%
01-05-2021,536.3,19.09M,1.01%
01-04-2021,530.95,21.78M,-3.37%
