Date,Price,Vol.,Return
01-03-2024,475.65,141.71M,-6.63%
01-02-2024,509.4,240.23M,9.78%
01-01-2024,464,124.85M,16.32%
01-12-2023,398.9,256.70M,14.82%
01-11-2023,347.4,211.78M,40.25%
01-10-2023,247.7,68.85M,-2.84%
01-09-2023,254.95,97.75M,2.76%
01-08-2023,248.1,84.25M,-12.15%
01-07-2023,282.4,112.18M,3.12%
01-06-2023,273.85,76.79M,4.96%
01-05-2023,260.9,67.61M,3.84%
01-04-2023,251.25,45.90M,6.10%
01-03-2023,236.8,82.48M,10.01%
01-02-2023,215.25,78.23M,-9.52%
01-01-2023,237.9,88.95M,1.17%
01-12-2022,235.15,86.19M,-1.65%
01-11-2022,239.1,73.73M,11.81%
01-10-2022,213.85,53.41M,-1.13%
01-09-2022,216.3,79.54M,-11.19%
01-08-2022,243.55,109.15M,1.00%
01-07-2022,241.15,95.85M,11.03%
01-06-2022,217.2,116.64M,-4.65%
01-05-2022,227.8,88.44M,-15.72%
01-04-2022,270.3,75.70M,0.35%
01-03-2022,269.35,153.54M,-1.43%
01-02-2022,273.25,78.12M,-13.01%
01-01-2022,314.1,67.70M,7.44%
01-12-2021,292.35,58.58M,-0.93%
01-11-2021,295.1,86.92M,-4.93%
01-10-2021,310.4,97.63M,3.47%
01-09-2021,300,99.09M,12.53%
01-08-2021,266.6,64.13M,2.09%
01-07-2021,261.15,94.79M,-10.93%
01-06-2021,293.2,120.08M,4.83%
01-05-2021,279.7,153.69M,19.20%
01-04-2021,234.65,108.97M,0.06%
