Date,Price,Vol.,Return
01-03-2024,430.8,47.51M,1.13%
01-02-2024,426,37.16M,-0.99%
01-01-2024,430.25,38.12M,2.84%
01-12-2023,418.35,49.33M,7.52%
01-11-2023,389.1,48.27M,1.77%
01-10-2023,382.35,64.44M,-15.94%
01-09-2023,454.85,25.09M,-2.75%
01-08-2023,467.7,30.36M,0.99%
01-07-2023,463.1,30.82M,-2.17%
01-06-2023,473.35,27.06M,-1.51%
01-05-2023,480.6,41.94M,-2.97%
01-04-2023,495.3,52.41M,15.54%
01-03-2023,428.7,35.34M,-2.27%
01-02-2023,438.65,29.36M,3.10%
01-01-2023,425.45,24.11M,2.78%
01-12-2022,413.95,34.52M,-6.47%
01-11-2022,442.6,53.75M,3.35%
01-10-2022,428.25,45.15M,7.93%
01-09-2022,396.8,58.68M,-5.32%
01-08-2022,419.1,81.78M,21.00%
01-07-2022,346.35,26.98M,-2.68%
01-06-2022,355.9,49.46M,-5.90%
01-05-2022,378.2,65.36M,7.32%
01-04-2022,352.4,53.21M,-5.56%
01-03-2022,373.15,97.26M,7.58%
01-02-2022,346.85,56.62M,-11.70%
01-01-2022,392.8,61.73M,-16.50%
01-12-2021,470.4,39.30M,-2.86%
01-11-2021,484.25,44.13M,2.18%
01-10-2021,473.9,57.02M,-11.10%
01-09-2021,533.1,52.38M,-2.34%
01-08-2021,545.85,40.17M,-2.13%
01-07-2021,557.75,65.12M,0.00%
01-06-2021,557.75,76.31M,5.46%
01-05-2021,528.85,43.67M,3.91%
01-04-2021,508.95,33.93M,-0.66%
