Date,Price,Vol.,Return
01-03-2024,167.75,565.67M,1.33%
01-02-2024,165.55,1.15B,12.43%
01-01-2024,147.25,398.40M,13.40%
01-12-2023,129.85,580.83M,16.20%
01-11-2023,111.75,827.79M,24.58%
01-10-2023,89.7,218.94M,-1.37%
01-09-2023,90.95,318.56M,2.08%
01-08-2023,89.1,204.04M,-4.96%
01-07-2023,93.75,408.06M,2.68%
01-06-2023,91.3,241.88M,1.44%
01-05-2023,90,284.37M,10.57%
01-04-2023,81.4,122.05M,4.49%
01-03-2023,77.9,203.88M,2.43%
01-02-2023,76.05,162.98M,-6.97%
01-01-2023,81.75,281.84M,6.86%
01-12-2022,76.5,302.50M,-0.20%
01-11-2022,76.65,277.44M,12.31%
01-10-2022,68.25,212.12M,1.94%
01-09-2022,66.95,363.26M,-6.36%
01-08-2022,71.5,387.53M,-1.99%
01-07-2022,72.95,260.80M,-1.75%
01-06-2022,74.25,400.46M,-3.99%
01-05-2022,77.33,405.97M,-7.94%
01-04-2022,84,356.80M,5.93%
01-03-2022,79.3,620.22M,3.43%
01-02-2022,76.67,345.48M,-8.15%
01-01-2022,83.47,278.94M,12.29%
01-12-2021,74.33,340.88M,-6.26%
01-11-2021,79.3,328.31M,-7.03%
01-10-2021,85.3,359.66M,2.11%
01-09-2021,83.53,390.33M,13.04%
01-08-2021,73.9,356.86M,7.46%
01-07-2021,68.77,293.96M,-4.40%
01-06-2021,71.93,471.97M,-1.24%
01-05-2021,72.83,1.09B,20.25%
01-04-2021,60.57,369.60M,-1.09%
