Date,Price,Vol.,Return
01-03-2024,"1,364.05",463.06K,-8.10%
01-02-2024,"1,484.35",8.43M,0.34%
01-01-2024,"1,479.25",14.79M,23.22%
01-12-2023,"1,200.50",11.81M,15.28%
01-11-2023,"1,041.35",5.95M,0.87%
01-10-2023,"1,032.40",20.35M,0.35%
01-09-2023,"1,028.85",8.58M,0.47%
01-08-2023,"1,024.00",12.17M,-8.43%
01-07-2023,"1,118.30",8.68M,6.66%
01-06-2023,"1,048.50",6.90M,-0.88%
01-05-2023,"1,057.80",15.78M,4.87%
01-04-2023,"1,008.65",12.25M,2.56%
01-03-2023,983.45,16.59M,9.78%
01-02-2023,895.85,7.28M,1.35%
01-01-2023,883.95,4.07M,5.45%
01-12-2022,838.25,7.90M,-7.14%
01-11-2022,902.75,10.08M,4.77%
01-10-2022,861.65,10.15M,3.55%
01-09-2022,832.15,12.08M,-4.18%
01-08-2022,868.45,18.18M,15.22%
01-07-2022,753.7,6.54M,-0.91%
01-06-2022,760.6,9.46M,0.56%
01-05-2022,756.4,8.78M,-1.66%
01-04-2022,769.2,11.21M,-1.26%
01-03-2022,779.05,18.57M,7.06%
01-02-2022,727.65,11.87M,-11.19%
01-01-2022,819.35,11.55M,-5.05%
01-12-2021,862.95,13.26M,-5.92%
01-11-2021,917.3,7.97M,-8.56%
01-10-2021,"1,003.15",10.03M,-7.34%
01-09-2021,"1,082.65",8.21M,-5.58%
01-08-2021,"1,146.65",7.03M,-1.77%
01-07-2021,"1,167.35",11.66M,2.71%
01-06-2021,"1,136.50",15.39M,-4.59%
01-05-2021,"1,191.15",13.29M,5.85%
01-04-2021,"1,125.35",8.84M,-3.73%
