Date,Price,Vol.,Return
01-03-2024,600.25,115.34M,9.83%
01-02-2024,546.55,190.17M,27.85%
01-01-2024,427.5,69.87M,14.87%
01-12-2023,372.15,149.88M,21.94%
01-11-2023,305.2,43.86M,2.12%
01-10-2023,298.85,62.41M,0.00%
01-09-2023,298.85,46.05M,9.43%
01-08-2023,273.1,19.24M,-0.94%
01-07-2023,275.7,20.75M,12.55%
01-06-2023,244.95,35.03M,-4.78%
01-05-2023,257.25,34.32M,0.94%
01-04-2023,254.85,29.69M,1.27%
01-03-2023,251.65,38.37M,1.86%
01-02-2023,247.05,60.05M,6.05%
01-01-2023,232.95,22.33M,11.89%
01-12-2022,208.2,20.01M,1.73%
01-11-2022,204.65,20.31M,6.04%
01-10-2022,193,28.37M,10.63%
01-09-2022,174.45,30.98M,-9.52%
01-08-2022,192.8,44.02M,1.47%
01-07-2022,190,109.19M,-24.45%
01-06-2022,251.5,180.85M,5.47%
01-05-2022,238.45,33.53M,4.38%
01-04-2022,228.45,33.38M,-4.17%
01-03-2022,238.4,61.44M,6.93%
01-02-2022,222.95,26.17M,-6.97%
01-01-2022,239.65,37.51M,20.49%
01-12-2021,198.9,27.18M,-6.02%
01-11-2021,211.65,21.10M,-5.95%
01-10-2021,225.05,51.36M,-13.51%
01-09-2021,260.2,55.20M,42.97%
01-08-2021,182,23.95M,9.08%
01-07-2021,166.85,23.22M,6.14%
01-06-2021,157.2,46.37M,18.64%
01-05-2021,132.5,25.38M,8.52%
01-04-2021,122.1,14.30M,-0.57%
