Date,Price,Vol.,Return
01-03-2024,268.05,295.68M,1.30%
01-02-2024,264.6,485.80M,4.52%
01-01-2024,253.15,368.15M,23.46%
01-12-2023,205.05,349.35M,5.18%
01-11-2023,194.95,208.28M,4.73%
01-10-2023,186.15,186.61M,-2.97%
01-09-2023,191.85,236.35M,10.16%
01-08-2023,174.15,142.54M,-1.64%
01-07-2023,177.05,171.74M,10.45%
01-06-2023,160.3,231.78M,3.49%
01-05-2023,154.9,323.71M,-2.55%
01-04-2023,158.95,179.73M,5.23%
01-03-2023,151.05,197.39M,-0.66%
01-02-2023,152.05,237.98M,4.93%
01-01-2023,144.9,299.01M,-1.26%
01-12-2022,146.75,298.52M,4.00%
01-11-2022,141.1,284.75M,5.26%
01-10-2022,134.05,264.30M,5.72%
01-09-2022,126.8,329.38M,-8.51%
01-08-2022,138.6,481.69M,3.32%
01-07-2022,134.15,792.07M,-11.48%
01-06-2022,151.55,757.50M,0.20%
01-05-2022,151.25,452.35M,-5.73%
01-04-2022,160.45,309.59M,-2.10%
01-03-2022,163.9,879.98M,2.02%
01-02-2022,160.65,401.51M,-6.92%
01-01-2022,172.6,373.48M,21.21%
01-12-2021,142.4,228.70M,0.21%
01-11-2021,142.1,357.50M,-4.66%
01-10-2021,149.05,685.08M,3.15%
01-09-2021,144.5,543.96M,19.87%
01-08-2021,120.55,281.21M,4.55%
01-07-2021,115.3,310.97M,-2.04%
01-06-2021,117.7,693.57M,3.56%
01-05-2021,113.65,559.24M,5.09%
01-04-2021,108.15,413.02M,5.87%
