Date,Price,Vol.,Return
01-03-2024,263.2,84.92M,-3.75%
01-02-2024,273.45,171.27M,1.73%
01-01-2024,268.8,76.33M,20.73%
01-12-2023,222.65,118.61M,9.79%
01-11-2023,202.8,149.64M,1.60%
01-10-2023,199.6,73.74M,-16.82%
01-09-2023,239.95,81.02M,11.45%
01-08-2023,215.3,40.60M,-7.81%
01-07-2023,233.55,41.21M,4.87%
01-06-2023,222.7,33.80M,-1.39%
01-05-2023,225.85,50.27M,-4.66%
01-04-2023,236.9,44.36M,3.52%
01-03-2023,228.85,64.57M,2.83%
01-02-2023,222.55,38.33M,2.44%
01-01-2023,217.25,38.90M,0.84%
01-12-2022,215.45,42.54M,1.32%
01-11-2022,212.65,30.79M,6.98%
01-10-2022,198.77,33.92M,2.83%
01-09-2022,193.31,27.94M,-9.59%
01-08-2022,213.81,34.67M,0.52%
01-07-2022,212.7,36.04M,1.22%
01-06-2022,210.13,45.68M,-4.23%
01-05-2022,219.42,59.64M,11.28%
01-04-2022,197.18,51.00M,5.24%
01-03-2022,187.36,66.87M,-10.01%
01-02-2022,208.2,63.49M,0.73%
01-01-2022,206.7,42.80M,-1.22%
01-12-2021,209.26,30.48M,-1.57%
01-11-2021,212.6,51.16M,-1.31%
01-10-2021,215.42,74.24M,-3.77%
01-09-2021,223.87,68.98M,4.81%
01-08-2021,213.59,105.27M,4.28%
01-07-2021,204.82,52.48M,-3.34%
01-06-2021,211.9,127.24M,-6.48%
01-05-2021,226.59,68.65M,0.63%
01-04-2021,225.18,69.33M,6.81%
