Date,ONGC,IGL,GUJGASLTD,MGL,GSPL,BPCL,HINDPETRO,AEGISCHEM,OIL,PETRONET,RELIANCE,CASTROLIND,ATGL,IOC,GAIL
01-03-2024,0.013,0.0113,-0.0373,-0.081,-0.0336,-0.0024,-0.0663,0.0155,0.0983,-0.0375,0.0171,-0.1077,-0.0966,0.0133,-0.0066
01-02-2024,0.0452,-0.0099,-0.0248,0.0034,0.0052,0.2023,0.0978,0.1647,0.2785,0.0173,0.0262,0.0598,0.0131,0.1243,0.0553
01-01-2024,0.2346,0.0284,0.2561,0.2322,0.1993,0.1145,0.1632,0.0732,0.1487,0.2073,0.1014,0.094,0.0247,0.134,0.0654
01-12-2023,0.0518,0.0752,0.0655,0.1528,0.0607,0.0343,0.1482,-0.0539,0.2194,0.0979,0.0873,0.3007,0.3938,0.162,0.229
01-11-2023,0.0473,0.0177,0.0589,0.0087,0.0785,0.2475,0.4025,0.2721,0.0212,0.016,0.0391,0.0151,0.2561,0.2458,0.1038
01-10-2023,-0.0297,-0.1594,-0.0328,0.0035,-0.0521,0.0076,-0.0284,-0.1123,0,-0.1682,-0.0243,-0.0173,-0.0798,-0.0137,-0.0394
01-09-2023,0.1016,-0.0275,-0.0589,0.0047,0.0219,0.0178,0.0276,-0.1095,0.0943,0.1145,-0.0258,-0.0428,-0.0355,0.0208,0.0817
01-08-2023,-0.0164,0.0099,-0.0691,-0.0843,-0.0423,-0.0979,-0.1215,-0.0317,-0.0094,-0.0781,-0.0558,0,-0.042,-0.0496,-0.0344
01-07-2023,0.1045,-0.0217,0.038,0.0666,0.0137,0.0351,0.0312,0.19,0.1255,0.0487,0.1011,0.1983,0.0139,0.0268,0.1337
01-06-2023,0.0349,-0.0151,-0.082,-0.0088,-0.0534,0.0033,0.0496,-0.1045,-0.0478,-0.0139,0.0325,0.0757,-0.0144,0.0144,0.0024
01-05-2023,-0.0255,-0.0297,0.0831,0.0487,0.0546,0.0165,0.0384,-0.0852,0.0094,-0.0466,0.0204,-0.063,-0.2972,0.1057,-0.0233
01-04-2023,0.0523,0.1554,0.0177,0.0256,0.0753,0.0386,0.061,0.034,0.0127,0.0352,0.0384,0.0802,0.089,0.0449,0.0204
01-03-2023,-0.0066,-0.0227,-0.0897,0.0978,-0.0631,0.0849,0.1001,0.0409,0.0186,0.0283,0.0037,-0.0331,0.2788,0.0243,0.0244
01-02-2023,0.0493,0.031,0.1049,0.0135,0.0484,-0.0755,-0.0952,-0.0461,0.0605,0.0244,-0.0133,-0.0263,-0.6781,-0.0697,0.0788
01-01-2023,-0.0126,0.0278,-0.0601,0.0545,0.0231,0.0386,0.0117,0.0978,0.1189,0.0084,-0.0759,-0.043,-0.4291,0.0686,-0.0094
01-12-2022,0.04,-0.0647,-0.0255,-0.0714,-0.0215,-0.0312,-0.0165,0.0694,0.0173,0.0132,-0.0674,-0.0635,0.0165,-0.002,0.0137
01-11-2022,0.0526,0.0335,-0.0381,0.0477,0.1917,0.1235,0.1181,0.0457,0.0604,0.0698,0.0713,0.0579,0.0083,0.1231,0.0378
01-10-2022,0.0572,0.0793,0.0305,0.0355,-0.0208,-0.0038,-0.0113,0.1468,0.1063,0.0283,0.0723,0.1029,0.0787,0.0194,0.0488
01-09-2022,-0.0851,-0.0532,0.0668,-0.0418,-0.0468,-0.0726,-0.1119,-0.0782,-0.0952,-0.0959,-0.0986,-0.0114,-0.1082,-0.0636,-0.0406
01-08-2022,0.0332,0.21,0.0598,0.1522,0.0426,-0.005,0.01,0.1362,0.0147,0.0052,0.0512,0.0018,0.1975,-0.0199,-0.0716
01-07-2022,-0.1148,-0.0268,0.0628,-0.0091,0.0665,0.071,0.1103,0.2385,-0.2445,0.0122,-0.0332,0.1016,0.3069,-0.0175,0.0843
01-06-2022,0.002,-0.059,-0.2511,0.0056,-0.1438,-0.0546,-0.0465,-0.0395,0.0547,-0.0423,-0.0141,-0.0497,-0.0021,-0.0399,-0.0815
01-05-2022,-0.0573,0.0732,0.1594,-0.0166,-0.0284,-0.1004,-0.1572,-0.0174,0.0438,0.1128,-0.0565,0.0056,-0.0216,-0.0794,-0.0751
01-04-2022,-0.021,-0.0556,-0.0414,-0.0126,0.0112,0.009,0.0035,0.0774,-0.0417,0.0524,0.059,0.0708,0.1401,0.0593,0.0225
01-03-2022,0.0202,0.0758,-0.1376,0.0706,-0.1052,0.0273,-0.0143,0.2177,0.0693,-0.1001,0.1166,-0.0653,0.3534,0.0343,0.0746
01-02-2022,-0.0692,-0.117,-0.1325,-0.1119,-0.0377,-0.119,-0.1301,-0.1672,-0.0697,0.0073,-0.0113,-0.1339,-0.1278,-0.0815,0.0038
01-01-2022,0.2121,-0.165,0.0595,-0.0505,0.0193,0.0301,0.0744,-0.0838,0.2049,-0.0122,0.0078,0.0155,0.0578,0.1229,0.1169
01-12-2021,0.0021,-0.0286,-0.0524,-0.0592,-0.0579,0.0418,-0.0093,-0.0351,-0.0602,-0.0157,-0.0155,-0.0499,0.0762,-0.0626,-0.0046
01-11-2021,-0.0466,0.0218,0.0766,-0.0856,0.0267,-0.1142,-0.0493,0.078,-0.0595,-0.0131,-0.0516,-0.0644,0.1114,-0.0703,-0.128
01-10-2021,0.0315,-0.111,-0.0238,-0.0734,-0.0343,-0.0335,0.0347,-0.0655,-0.1351,-0.0377,0.0068,-0.0146,0.0115,0.0211,-0.063
01-09-2021,0.1987,-0.0234,-0.1181,-0.0558,-0.0988,-0.0132,0.1253,-0.1452,0.4297,0.0481,0.1156,0.0463,-0.0202,0.1304,0.0869
01-08-2021,0.0455,-0.0213,0.011,-0.0177,0.0131,0.0587,0.0209,-0.1671,0.0908,0.0428,0.1095,-0.0318,0.6274,0.0746,0.0473
01-07-2021,-0.0204,0,0.082,0.0271,0.0381,-0.0483,-0.1093,-0.0704,0.0614,-0.0334,-0.0357,-0.0328,-0.1248,-0.044,-0.0675
01-06-2021,0.0356,0.0546,0.2321,-0.0459,0.23,-0.0083,0.0483,-0.0427,0.1864,-0.0648,-0.023,0.0655,-0.2439,-0.0124,-0.0644
01-05-2021,0.0509,0.0391,0.0101,0.0585,0.0052,0.119,0.192,0.1808,0.0852,0.0063,0.0831,0.068,0.1721,0.2025,0.1658
01-04-2021,0.0587,-0.0066,-0.0337,-0.0373,-0.0135,-0.0144,0.0006,0.0186,-0.0057,0.0681,-0.0043,0.0036,0.1971,-0.0109,0.0125
